data,país,confirmados,recuperados,fatalidades
2020-06-30,New Zealand,1528.0,1484.0,22.0
2020-06-30,Nicaragua,2519.0,1238.0,83.0
2020-06-30,Niger,1075.0,943.0,67.0
2020-06-30,Nigeria,25694.0,9746.0,590.0
2020-06-30,North Macedonia,6334.0,2475.0,302.0
2020-06-30,Norway,8879.0,8138.0,250.0
2020-06-30,Oman,40070.0,23425.0,176.0
2020-06-30,Pakistan,213470.0,100802.0,4395.0
2020-06-30,Panama,33550.0,15745.0,631.0
2020-06-30,Papua New Guinea,11.0,8.0,0.0
2020-06-30,Paraguay,2221.0,1089.0,17.0
2020-06-30,Peru,285213.0,174535.0,9677.0
2020-06-30,Philippines,37514.0,10233.0,1266.0
2020-06-30,Poland,34393.0,21281.0,1463.0
2020-06-30,Portugal,42141.0,27505.0,1576.0
2020-06-30,Qatar,96088.0,81564.0,113.0
2020-06-30,Romania,26970.0,19050.0,1651.0
2020-06-30,Russia,646929.0,411973.0,9306.0
2020-06-30,Rwanda,1025.0,447.0,2.0
2020-06-30,Saint Kitts and Nevis,15.0,15.0,0.0
2020-06-30,Saint Lucia,19.0,19.0,0.0
2020-06-30,Saint Vincent and the Grenadines,29.0,29.0,0.0
2020-06-30,San Marino,698.0,656.0,42.0
2020-06-30,Sao Tome and Principe,714.0,236.0,13.0
2020-06-30,Saudi Arabia,190823.0,130766.0,1649.0
2020-06-30,Senegal,6793.0,4431.0,112.0
2020-06-30,Serbia,14564.0,12662.0,277.0
2020-06-30,Seychelles,81.0,11.0,0.0
2020-06-30,Sierra Leone,1462.0,974.0,60.0
2020-06-30,Singapore,43907.0,38500.0,26.0
2020-06-30,Slovakia,1667.0,1464.0,28.0
2020-06-30,Slovenia,1600.0,1384.0,111.0
2020-06-30,Somalia,2924.0,910.0,90.0
2020-06-30,South Africa,151209.0,73543.0,2657.0
2020-06-30,South Sudan,2007.0,279.0,38.0
2020-06-30,Spain,249271.0,150376.0,28355.0
2020-06-30,Sri Lanka,2047.0,1711.0,11.0
2020-06-30,Sudan,9257.0,4014.0,572.0
2020-06-30,Suriname,515.0,227.0,13.0
2020-06-30,Sweden,68451.0,0.0,5333.0
2020-06-30,Switzerland,31714.0,29200.0,1963.0
2020-06-30,Syria,279.0,105.0,9.0
2020-06-30,Taiwan*,447.0,437.0,7.0
2020-06-30,Tajikistan,5900.0,4506.0,52.0
2020-06-30,Tanzania,509.0,183.0,21.0
2020-06-30,Thailand,3171.0,3056.0,58.0
2020-06-30,Timor-Leste,24.0,24.0,0.0
2020-06-30,Togo,650.0,402.0,14.0
2020-06-30,Trinidad and Tobago,130.0,113.0,8.0
2020-06-30,Tunisia,1174.0,1031.0,50.0
2020-06-30,Turkey,199906.0,173111.0,5131.0
2020-06-30,US,2635417.0,720631.0,127417.0
2020-06-30,Uganda,889.0,819.0,0.0
2020-06-30,Ukraine,45254.0,19792.0,1173.0
2020-06-30,United Arab Emirates,48667.0,37566.0,315.0
2020-06-30,United Kingdom,312654.0,0.0,43730.0
2020-06-30,United Kingdom,3.0,3.0,0.0
2020-06-30,United Kingdom,146.0,135.0,9.0
2020-06-30,United Kingdom,8.0,7.0,1.0
2020-06-30,United Kingdom,200.0,191.0,1.0
2020-06-30,United Kingdom,571.0,512.0,47.0
2020-06-30,United Kingdom,13.0,13.0,0.0
2020-06-30,United Kingdom,177.0,176.0,0.0
2020-06-30,United Kingdom,336.0,312.0,24.0
2020-06-30,United Kingdom,11.0,10.0,1.0
2020-06-30,United Kingdom,41.0,11.0,2.0
2020-06-30,Uruguay,936.0,824.0,27.0
2020-06-30,Uzbekistan,8503.0,5682.0,26.0
2020-06-30,Venezuela,5832.0,1649.0,51.0
2020-06-30,Vietnam,355.0,335.0,0.0
2020-06-30,West Bank and Gaza,2428.0,451.0,8.0
2020-06-30,Western Sahara,10.0,8.0,1.0
2020-06-30,Yemen,1158.0,488.0,312.0
2020-06-30,Zambia,1594.0,1329.0,24.0
2020-06-30,Zimbabwe,591.0,162.0,7.0
